2023-08-17 13:57:25|voc4cat.cli         |INFO    |Executing cmd: voc4cat transform --logfile publish/latest/voc4cat.log --join publish/latest/
2024-04-08 07:44:05|voc4cat.cli         |INFO    |Executing cmd: voc4cat docs --force --logfile publish/latest/voc4cat.log publish/latest/
2024-04-08 07:44:05|voc4cat.cli         |DEBUG   |Processing common options.
2024-04-08 07:44:05|voc4cat.docs        |DEBUG   |Docs subcommand started!
2024-04-08 07:44:05|voc4cat.docs        |DEBUG   |Processing "publish/latest/voc4cat.ttl"
2024-04-08 07:44:05|pylode.common       |DEBUG   |Application dir: /opt/hostedtoolcache/Python/3.11.8/x64/lib/python3.11/site-packages/pylode
2024-04-08 07:44:07|voc4cat.docs        |INFO    |-> built pyLODE documentation for publish/latest/voc4cat.ttl
2024-04-08 07:44:07|voc4cat.config      |DEBUG   |Config loaded from: idranges.toml
2024-04-08 07:44:07|voc4cat.gh_index    |DEBUG   |Running cmd: git -C . tag --list v[0-9]*-[0-9]*-[0-9]*
2024-04-08 07:44:07|voc4cat.gh_index    |DEBUG   |Cmd output: b'v2023-08-17\nv2023-09-03\nv2024-04-08\n'
2024-04-08 07:44:07|voc4cat.gh_index    |DEBUG   |Repository name (from env.var): "voc4cat"
2024-04-08 07:44:07|voc4cat.gh_index    |DEBUG   |Adding tag "v2023-08-17" to index.html
2024-04-08 07:44:07|voc4cat.gh_index    |DEBUG   |Adding tag "v2023-09-03" to index.html
2024-04-08 07:44:07|voc4cat.gh_index    |DEBUG   |Adding tag "v2024-04-08" to index.html
2024-04-08 07:44:08|voc4cat.cli         |INFO    |Executing cmd: voc4cat convert --logfile publish/latest/voc4cat.log --template templates/voc4cat_template_043.xlsx publish/latest/
2024-04-08 07:44:08|voc4cat.cli         |DEBUG   |Processing common options.
2024-04-08 07:44:08|voc4cat.convert     |DEBUG   |Convert subcommand started!
2024-04-08 07:44:08|voc4cat.convert     |DEBUG   |Processing "publish/latest/voc4cat.ttl"
2024-04-08 07:44:08|voc4cat.convert     |INFO    |-> successfully converted to publish/latest/voc4cat.xlsx
2024-04-08 07:44:08|voc4cat.utils       |DEBUG   |Adjusted table "concepts" in sheet "Concepts" from {A2:I20} to {A2:I288}.
2024-04-08 07:44:08|voc4cat.utils       |DEBUG   |Adjusted table "concept_relations" in sheet "Additional Concept Features" from {A2:F20} to {A2:F288}.
2024-04-08 07:44:08|voc4cat.utils       |DEBUG   |Adjusted table "prefixes" in sheet "Prefix Sheet" from {A1:B19} to {A1:B30}.
2024-04-08 07:44:09|voc4cat.cli         |INFO    |Executing cmd: voc4cat convert --logfile publish/latest/voc4cat.log --outputformat xml publish/latest/voc4cat.xlsx
2024-04-08 07:44:09|voc4cat.cli         |DEBUG   |Processing common options.
2024-04-08 07:44:09|voc4cat.convert     |DEBUG   |Convert subcommand started!
2024-04-08 07:44:09|voc4cat.convert     |DEBUG   |Processing "publish/latest/voc4cat.xlsx"
2024-04-08 07:44:09|voc4cat.convert     |INFO    |-> successfully converted to publish/latest/voc4cat.xml
2024-12-17 15:52:25|voc4cat.cli         |INFO    |Executing cmd: voc4cat transform --logfile publish/latest/voc4cat.log --join publish/latest/
2024-12-17 15:52:25|voc4cat.cli         |DEBUG   |Processing common options.
2024-12-17 15:52:25|voc4cat.transform   |DEBUG   |Transform subcommand started!
2024-12-17 15:52:25|voc4cat.transform   |DEBUG   |Processing rdf files in "publish/latest/voc4cat"
2024-12-17 15:52:25|voc4cat.transform   |INFO    |-> joined vocabulary into: publish/latest/voc4cat.ttl
2024-12-17 15:52:26|voc4cat.cli         |INFO    |Executing cmd: voc4cat docs --force --logfile publish/latest/voc4cat.log publish/latest/
2024-12-17 15:52:26|voc4cat.cli         |DEBUG   |Processing common options.
2024-12-17 15:52:26|voc4cat.docs        |DEBUG   |Docs subcommand started!
2024-12-17 15:52:26|voc4cat.docs        |DEBUG   |Processing "publish/latest/voc4cat.ttl"
2024-12-17 15:52:26|pylode.common       |DEBUG   |Application dir: /opt/hostedtoolcache/Python/3.12.8/x64/lib/python3.12/site-packages/pylode
2024-12-17 15:52:29|voc4cat.docs        |INFO    |-> built pyLODE documentation for publish/latest/voc4cat.ttl
2024-12-17 15:52:29|voc4cat.config      |DEBUG   |Config loaded from: idranges.toml
2024-12-17 15:52:29|voc4cat.gh_index    |DEBUG   |Running cmd: git -C . tag --list v[0-9]*-[0-9]*-[0-9]*
2024-12-17 15:52:29|voc4cat.gh_index    |DEBUG   |Cmd output: b'v2023-08-17\nv2023-09-03\nv2024-04-08\nv2024-12-17\n'
2024-12-17 15:52:29|voc4cat.gh_index    |DEBUG   |Repository name (from env.var): "voc4cat"
2024-12-17 15:52:29|voc4cat.gh_index    |DEBUG   |Adding tag "v2023-08-17" to index.html
2024-12-17 15:52:29|voc4cat.gh_index    |DEBUG   |Adding tag "v2023-09-03" to index.html
2024-12-17 15:52:29|voc4cat.gh_index    |DEBUG   |Adding tag "v2024-04-08" to index.html
2024-12-17 15:52:29|voc4cat.gh_index    |DEBUG   |Adding tag "v2024-12-17" to index.html
2024-12-17 15:52:30|voc4cat.cli         |INFO    |Executing cmd: voc4cat convert --logfile publish/latest/voc4cat.log --template templates/voc4cat_template_043.xlsx publish/latest/
2024-12-17 15:52:30|voc4cat.cli         |DEBUG   |Processing common options.
2024-12-17 15:52:30|voc4cat.convert     |DEBUG   |Convert subcommand started!
2024-12-17 15:52:30|voc4cat.convert     |DEBUG   |Processing "publish/latest/voc4cat.ttl"
2024-12-17 15:52:30|voc4cat.convert     |INFO    |-> successfully converted to publish/latest/voc4cat.xlsx
2024-12-17 15:52:31|voc4cat.utils       |DEBUG   |Adjusted table "concepts" in sheet "Concepts" from {A2:I20} to {A2:I310}.
2024-12-17 15:52:31|voc4cat.utils       |DEBUG   |Adjusted table "concept_relations" in sheet "Additional Concept Features" from {A2:F20} to {A2:F310}.
2024-12-17 15:52:31|voc4cat.utils       |DEBUG   |Adjusted table "prefixes" in sheet "Prefix Sheet" from {A1:B19} to {A1:B30}.
2024-12-17 15:52:31|voc4cat.cli         |INFO    |Executing cmd: voc4cat convert --logfile publish/latest/voc4cat.log --outputformat xml publish/latest/voc4cat.xlsx
2024-12-17 15:52:31|voc4cat.cli         |DEBUG   |Processing common options.
2024-12-17 15:52:31|voc4cat.convert     |DEBUG   |Convert subcommand started!
2024-12-17 15:52:31|voc4cat.convert     |DEBUG   |Processing "publish/latest/voc4cat.xlsx"
2024-12-17 15:52:32|voc4cat.convert     |INFO    |-> successfully converted to publish/latest/voc4cat.xml
2024-12-17 16:14:49|voc4cat.cli         |INFO    |Executing cmd: voc4cat transform --logfile publish/latest/voc4cat.log --join publish/latest/
2024-12-17 16:14:49|voc4cat.cli         |DEBUG   |Processing common options.
2024-12-17 16:14:49|voc4cat.transform   |DEBUG   |Transform subcommand started!
2024-12-17 16:14:49|voc4cat.transform   |DEBUG   |Processing rdf files in "publish/latest/voc4cat"
2024-12-17 16:14:50|voc4cat.transform   |INFO    |-> joined vocabulary into: publish/latest/voc4cat.ttl
2024-12-17 16:14:51|voc4cat.cli         |INFO    |Executing cmd: voc4cat docs --force --logfile publish/latest/voc4cat.log publish/latest/
2024-12-17 16:14:51|voc4cat.cli         |DEBUG   |Processing common options.
2024-12-17 16:14:51|voc4cat.docs        |DEBUG   |Docs subcommand started!
2024-12-17 16:14:51|voc4cat.docs        |DEBUG   |Processing "publish/latest/voc4cat.ttl"
2024-12-17 16:14:51|pylode.common       |DEBUG   |Application dir: /opt/hostedtoolcache/Python/3.12.8/x64/lib/python3.12/site-packages/pylode
2024-12-17 16:14:54|voc4cat.docs        |INFO    |-> built pyLODE documentation for publish/latest/voc4cat.ttl
2024-12-17 16:14:54|voc4cat.config      |DEBUG   |Config loaded from: idranges.toml
2024-12-17 16:14:54|voc4cat.gh_index    |DEBUG   |Running cmd: git -C . tag --list v[0-9]*-[0-9]*-[0-9]*
2024-12-17 16:14:54|voc4cat.gh_index    |DEBUG   |Cmd output: b'v2023-08-17\nv2023-09-03\nv2024-04-08\nv2024-12-17\n'
2024-12-17 16:14:54|voc4cat.gh_index    |DEBUG   |Repository name (from env.var): "voc4cat"
2024-12-17 16:14:54|voc4cat.gh_index    |DEBUG   |Adding tag "v2023-08-17" to index.html
2024-12-17 16:14:54|voc4cat.gh_index    |DEBUG   |Adding tag "v2023-09-03" to index.html
2024-12-17 16:14:54|voc4cat.gh_index    |DEBUG   |Adding tag "v2024-04-08" to index.html
2024-12-17 16:14:54|voc4cat.gh_index    |DEBUG   |Adding tag "v2024-12-17" to index.html
2024-12-17 16:14:55|voc4cat.cli         |INFO    |Executing cmd: voc4cat convert --logfile publish/latest/voc4cat.log --template templates/voc4cat_template_043.xlsx publish/latest/
2024-12-17 16:14:55|voc4cat.cli         |DEBUG   |Processing common options.
2024-12-17 16:14:55|voc4cat.convert     |DEBUG   |Convert subcommand started!
2024-12-17 16:14:55|voc4cat.convert     |DEBUG   |Processing "publish/latest/voc4cat.ttl"
2024-12-17 16:14:55|voc4cat.convert     |INFO    |-> successfully converted to publish/latest/voc4cat.xlsx
2024-12-17 16:14:55|voc4cat.utils       |DEBUG   |Adjusted table "concepts" in sheet "Concepts" from {A2:I20} to {A2:I310}.
2024-12-17 16:14:55|voc4cat.utils       |DEBUG   |Adjusted table "concept_relations" in sheet "Additional Concept Features" from {A2:F20} to {A2:F310}.
2024-12-17 16:14:55|voc4cat.utils       |DEBUG   |Adjusted table "prefixes" in sheet "Prefix Sheet" from {A1:B19} to {A1:B30}.
2024-12-17 16:14:56|voc4cat.cli         |INFO    |Executing cmd: voc4cat convert --logfile publish/latest/voc4cat.log --outputformat xml publish/latest/voc4cat.xlsx
2024-12-17 16:14:56|voc4cat.cli         |DEBUG   |Processing common options.
2024-12-17 16:14:56|voc4cat.convert     |DEBUG   |Convert subcommand started!
2024-12-17 16:14:56|voc4cat.convert     |DEBUG   |Processing "publish/latest/voc4cat.xlsx"
2024-12-17 16:14:56|voc4cat.convert     |INFO    |-> successfully converted to publish/latest/voc4cat.xml
